| Category           | Script Name                                | ThinkSystem        | ThinkSystem    | ThinkSystem v2  |
|                    | get_hostinterface.psm1                     |        Yes         |     Yes        |     Yes         |
|                    | set_bmc_timezone.psm1                      |        Yes         |     Yes *4     |     Yes         |
|                    | set_bmc_vlanid.psm1                        |        Yes         |     Yes *4     |     Yes         |
|                    | lenovo_set_bmc_config_default.psm1         |        Yes         |     Yes        |     Yes         |
|                    | set_bmc_ipv4.psm1                          |        Yes         |     Yes        |     Yes         |
|                    | lenovo_generate_snmp_engineid.psm1         |        Yes         |     Yes        |     Yes         |
|                    | lenovo_get_snmp_global.psm1                |        Yes         |     Yes        |     Yes         |
|                    | lenovo_set_snmp_global.psm1                |        Yes         |     Yes        |     Yes         |
|                    | update_bmc_user_snmpinfo.psm1              |        Yes         |     Yes        |     Yes         |
|                    | set_bmc_hostname.psm1                      |        Yes         |     Yes        |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|
| Virtual Media      | get_virtual_media.psm1                     |        Yes         |     Yes        |     Yes         |
|                    | mount_virtual_media.psm1                   |        Yes         |     Yes        |     Yes         |
|                    | umount_virtual_media.psm1                  |        Yes         |     Yes        |     Yes         |
|                    | lenovo_mount_virtual_media.psm1            |        Yes         |     Yes        |     Yes         |
|                    | lenovo_umount_virtual_media.psm1           |        Yes         |     Yes        |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|
| RAID Configuration | lenovo_create_raid_volume.psm1             |        Yes *3      |     Yes        |     Yes         |
|                    | lenovo_delete_raid_volume.psm1             |        Yes *3      |     Yes        |     Yes         |
|                    | lenovo_update_raid_volume.psm1             |        Yes *3      |     Yes        |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|
| FW Update          | get_fw_inventory.psm1                      |        Yes         |     Yes        |     Yes         |
|                    | update_firmware.psm1                       |        Yes         |     Yes        |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|
| Telemetry          | get_metric_definition_report.psm1          |        Yes         |     Yes        |     Yes         |
|                    | send_test_metric.psm1                      |        Yes         |     Yes        |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|
| Session            | get_sessions.psm1                          |        Yes         |     Yes        |     Yes         |
|                    | clear_sessions.psm1                        |        Yes         |     Yes        |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|
| License            | lenovo_bmc_license_delete.psm1             |        Yes         |     Yes        |     Yes         |
|                    | lenovo_bmc_license_export.psm1             |        Yes         |     Yes        |     Yes         |
|                    | lenovo_bmc_license_getinfo.psm1            |        Yes         |     Yes        |     Yes         |
|                    | lenovo_bmc_license_import.psm1             |        Yes         |     Yes        |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|
| LDAP               | lenovo_get_bmc_external_ldap.psm1          |        Yes         |     Yes *4     |     Yes         |
|                    | lenovo_set_bmc_external_ldap.psm1          |        Yes         |     Yes *4     |     Yes         |
|                    | lenovo_ldap_certificate_disable.psm1       |        Yes         |     Yes *4     |     Yes         |
|                    | lenovo_ldap_certificate_enable.psm1        |        Yes         |     Yes *4     |     Yes         |
|                    | lenovo_get_bmc_user_ldap_policy.psm1       |        Yes         |     Yes *4     |     Yes         |
|                    | lenovo_set_bmc_user_ldap_policy.psm1       |        Yes         |     Yes *4     |     Yes         |
|                    | lenovo_ldap_certificate_add.psm1           |        Yes         |     Yes *4     |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|
| Security           | lenovo_ssl_certificate_getinfo.psm1        |        Yes         |     Yes        |     Yes         |
|                    | lenovo_ssl_certificate_generate_csr.psm1   |        Yes         |     Yes        |     Yes         |
|                    | lenovo_ssl_certificate_import.psm1         |        Yes         |     Yes        |     Yes         |
|                    | lenovo_get_ssh_pubkey.psm1                 |        Yes         |     Yes        |     Yes         |
|                    | lenovo_import_ssh_pubkey.psm1              |        Yes         |     Yes        |     Yes         |
|                    | lenovo_delete_ssh_pubkey.psm1              |        Yes         |     Yes        |     Yes         |
|                    | lenovo_httpfs_certificate_import.psm1      |        Yes         |     Yes        |     Yes         |
|                    | lenovo_httpfs_certificate_getinfo.psm1     |        Yes         |     Yes        |     Yes         |
|                    | lenovo_httpfs_certificate_enable.psm1      |        Yes         |     Yes        |     Yes         |
|                    | lenovo_httpfs_certificate_disable.psm1     |        Yes         |     Yes        |     Yes         |
|                    | lenovo_httpfs_certificate_delete.psm1      |        Yes         |     Yes        |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|
| Other              | set_server_asset_tag.psm1                  |        Yes         |     Yes        |     Yes         |
|                    | get_all_tasks.psm1                         |        Yes         |     Yes        |     Yes         |
|                    | del_tasks.psm1                             |        Yes         |     Yes        |     Yes         |
|                    | get_schema.psm1                            |        Yes         |     Yes        |     Yes         |
|                    | set_system_name.psm1                       |        Yes         |     Yes        |     Yes         |
|--------------------|--------------------------------------------|--------------------|----------------|-----------------|

*1: After enabling user, may request changing password for first login
*2: Not supported for SN550 (v2), SN850 (v2), SD530, SD650 (v2). 
*3: Supported from firmware release of May, 2022. Not supported for SD530, SD650 (v2).
*4: Not supported for SN550 (v2), SN850 (v2). These info are controlled by CMM or SMM.

ThinkSystem AMD 2P (Rome/Milan): SR645, SR665
ThinkSystem Intel (Purley):      SR530, SR550, SR570, SR590, SR630,  SR650, SR670, SR850P, SR860, SR950, SD530, SD650, SN550, SN850, ST550
ThinkSystem v2 Intel (Whitley):  SR850 v2, SR860 v2

Note: on different products, there will be little different behaviors and properties per hardware design and Redfish spec/schema supported.
